"Load #","Last Free Day","Total Weight","Container #","Chassis #","APT","Approved Date","Available Date","BOL/BKG","BOOKING #","Billing Date","Billing Note","Branch","Broker Hold","CSR","Caller Booking No","Carrier Hold","S101 - DRAYAGE (ALL-IN)","S100 - DRAYAGE","S108 - CHASSIS","S211 - TRANSLOAD","S132 - OVERWEIGHT","S128 - HAZMAT","S114 - CREDIT","S131 - OFF-HIRE REPOSITIONING","S122 - DROP CHARGE","S152 - PREPULL","S163 - YARD DAYS","S104 - FUEL","S159 - TRI-AXLE","S107 - BONDED MOVE","S162 - YARD PULL","S120 - DRY RUN","S141 - PERMIT","Charge Set Status","Chassis Size","Chassis Type","Cheque Number","Commodity","Container Size","Container Type","Created By","Created By Date","Current Location","Custom","Customer","Cut","Deliver Load Arrived","Deliver Load Enroute","Delivery Location","Discharged Date","Dispatched By","Driver","Driver Note","Drop Container Arrived","Drop Container Enroute","ETA","Empty Date","Freight","Gray Chassis #","Gray Container #","Graypool Chassis #","Graypool Container #","Hazmat","Hook Chassis","Hook Chassis Arrived","Hook Chassis Enroute","Hook Container Arrived","Hook Container Enroute","House BOL","Ingate Date","Is Ready To Return","Load Completed At","Move","Load Notes","Move Assigned Date","Next Address","Other References","Outgate Date","Over Weight","PICKUP","PCS","PICKUP #","PO #","Paid Amount","Pallets","Payment Date","Per Diem Free Day","Pick Up Location","Pick up #","Pricing Total","Pull Container Arrived","Pull Container Enroute","Purchase Order #","Reference #","Remaining Amount","Reservation #","Return","Return #","Return Container Arrived","Return Container Enroute","Return Location","SSL","Seal #","Shipment","Status","Stop Off Arrived","Stop Off Enroute","Temperature","Terminal Address","Terminate Chassis","Terminate Chassis Arrived","Terminate Chassis Enroute","Total Amount","Total Distance","Vessel Name","Voyage","Warehouse Address","Yard Note"
"THWK_E135457","02/20/26","56945.33","","","02/19/26 12:00 AM","","02/17/26 03:06 PM","","2318447470","","","","No","","","No","375","","","","","","","","","","","","","","","","","DRAFT","","","","PLASTICS","40'","HC","Valerie","02/17/26 03:06 PM","","","PBP","02/25/26 05:00 PM","","","PBP INC","","","","","","","","","","","","","","false","","","","","","","","No","","EXPORT","","","","","","Yes","","","","","0","","","","ITS ConGlobal La Porte","","375","","","","79279","0","","","","","","BAYPORT TERMINAL","OOCL","","","AVAILABLE","","","","1802 N Hwy 146, La Porte, TX 77571, US","","","","375","28.14","APM","0VBLSE1MA","5055 Grand Parkway, Baytown, TX 77523, US",""
"THWK_E135456","02/20/26","56945.33","","","02/19/26 12:00 AM","","02/17/26 03:06 PM","","2318447470","","","","No","","","No","375","","","","","","","","","","","","","","","","","DRAFT","","","","PLASTICS","40'","HC","Valerie","02/17/26 03:06 PM","","","PBP","02/25/26 05:00 PM","","","PBP INC","","","","","","","","","","","","","","false","","","","","","","","No","","EXPORT","","","","","","Yes","","","","","0","","","","ITS ConGlobal La Porte","","375","","","","79279","0","","","","","","BAYPORT TERMINAL","OOCL","","","AVAILABLE","","","","1802 N Hwy 146, La Porte, TX 77571, US","","","","375","28.14","APM","0VBLSE1MA","5055 Grand Parkway, Baytown, TX 77523, US",""
"THWK_E135455","02/20/26","56945.33","","","02/19/26 12:00 AM","","02/17/26 03:06 PM","","2318447470","","","","No","","","No","375","","","","","","","","","","","","","","","","","DRAFT","","","","PLASTICS","40'","HC","Valerie","02/17/26 03:06 PM","","","PBP","02/25/26 05:00 PM","","","PBP INC","","","","","","","","","","","","","","false","","","","","","","","No","","EXPORT","","","","","","Yes","","","","","0","","","","ITS ConGlobal La Porte","","375","","","","79279","0","","","","","","BAYPORT TERMINAL","OOCL","","","AVAILABLE","","","","1802 N Hwy 146, La Porte, TX 77571, US","","","","375","28.14","APM","0VBLSE1MA","5055 Grand Parkway, Baytown, TX 77523, US",""
"THWK_E135454","02/20/26","56945.33","","","02/19/26 12:00 AM","","02/17/26 03:06 PM","","2318447470","","","","No","","","No","375","","","","","","","","","","","","","","","","","DRAFT","","","","PLASTICS","40'","HC","Valerie","02/17/26 03:06 PM","","","PBP","02/25/26 05:00 PM","","","PBP INC","","","","","","","","","","","","","","false","","","","","","","","No","","EXPORT","","","","","","Yes","","","","","0","","","","ITS ConGlobal La Porte","","375","","","","79279","0","","","","","","BAYPORT TERMINAL","OOCL","","","AVAILABLE","","","","1802 N Hwy 146, La Porte, TX 77571, US","","","","375","28.14","APM","0VBLSE1MA","5055 Grand Parkway, Baytown, TX 77523, US",""
"THWK_E135453","02/20/26","56945.33","","","02/19/26 12:00 AM","","02/17/26 03:06 PM","","2318447470","","","","No","","","No","375","","","","","","","","","","","","","","","","","DRAFT","","","","PLASTICS","40'","HC","Valerie","02/17/26 03:06 PM","","","PBP","02/25/26 05:00 PM","","","PBP INC","","","","","","","","","","","","","","false","","","","","","","","No","","EXPORT","","","","","","Yes","","","","","0","","","","ITS ConGlobal La Porte","","375","","","","79279","0","","","","","","BAYPORT TERMINAL","OOCL","","","AVAILABLE","","","","1802 N Hwy 146, La Porte, TX 77571, US","","","","375","28.14","APM","0VBLSE1MA","5055 Grand Parkway, Baytown, TX 77523, US",""
"THWK_E135451","02/20/26","56945.33","","","02/19/26 12:00 AM","","02/17/26 03:06 PM","","2318447470","","","","No","","","No","375","","","","","","","","","","","","","","","","","DRAFT","","","","PLASTICS","40'","HC","Valerie","02/17/26 03:04 PM","","","PBP","02/25/26 05:00 PM","","","PBP INC","","","","","","","","","","","","","","false","","","","","","","","No","","EXPORT","","","","","","Yes","","","","","0","","","","ITS ConGlobal La Porte","","375","","","","79279","0","","","","","","BAYPORT TERMINAL","OOCL","","","AVAILABLE","","","","1802 N Hwy 146, La Porte, TX 77571, US","","","","375","28.14","APM","0VBLSE1MA","5055 Grand Parkway, Baytown, TX 77523, US",""
"THWK_M135450","","33205.99","TCLU4260880","","","","","","","","","","No","","","No","","","","","","","","","","","","","","","","","","DRAFT","","","","FLUOROPOLYMER (NON FLAMMABLE)","","","Valerie","02/17/26 02:52 PM","","","Kintetsu World Express","","","","HERMANN FOWARDING C/O AGC CHEMICALS","","","","","","","03/01/26 12:00 AM","","","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","638","","","0","","","","UP HOUSTON","","0","","","J139300","1502","0","","","","","","","","","","PENDING","","","","6800 Kirkpatrick Blvd, Houston, TX 77028, US","","","","0","12.98","","","3520 East Sam Houston Parkway North, Channelview, TX 77530, US",""
"THWK_M135449","","14590.18","GCXU2241123","","","","","","","","","","No","","","No","","","","","","","","","","","","","","","","","","DRAFT","","","","FLUOROPOLYMER (NON FLAMMABLE)","20'","ST","Valerie","02/17/26 02:50 PM","","","Kintetsu World Express","","","","HERMANN FOWARDING C/O AGC CHEMICALS","","","","","","","03/01/26 12:00 AM","","","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","280","","","0","","","","UP HOUSTON","","0","","","J139300","1501","0","","","","","","","ONE","","","PENDING","","","","6800 Kirkpatrick Blvd, Houston, TX 77028, US","","","","0","12.98","","","3520 East Sam Houston Parkway North, Channelview, TX 77530, US",""
"THWK_M135446","","41244.03","MSNU6822268","","","","","FO122404","","","","","No","","","No","","1300","40","","","","","","","","","","","","","","","DRAFT","","","","Olives ","40'","HC","Joel","02/17/26 01:33 PM","","HOLD","CH ROBINSON","","","","Hub Group c/o GLM","","","","","","","02/19/26 03:00 PM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","1340","","","","544463526","0","","","","","","","MSC","","","PENDING","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","1340","282.88","MDUB","MG606E","2010 January Lane, Grand Prairie, TX 75050, US",""
"THWK_M135445","","41244.03","TCNU1411167","","","","","FO122404","","","","","No","","","No","","1300","40","","","","","","","","","","","","","","","DRAFT","","","","Olives ","40'","HC","Joel","02/17/26 01:31 PM","","HOLD","CH ROBINSON","","","","Hub Group c/o GLM","","","","","","","02/19/26 03:00 PM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","1340","","","","544463021","0","","","","","","","MSC","","","PENDING","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","1340","282.88","MDUB","MG606E","2010 January Lane, Grand Prairie, TX 75050, US",""
