COMPANY NAME,PHONE,MAIN CONTACT NAME,ADDRESS,CITY,STATE,ZIP CODE,CUSTOMER TYPE,CREDIT LIMIT,DEFAULT PAYMENT TERMS,CREDIT HOLD,ACCOUNT HOLD,CURRENCY
7 Star Brokerage,,,2422 Jolly Road,Okemos,MI,48864,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
7 Star Logistics Solutions,,,4838 Borusan Road,Baytown,TX,77523,caller," ",30,NO,NO," "
7- Star Logistics,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,caller," "," ",NO,NO," "
ABC COMPOUNDING,,,1102 E Avenue J,Grand Prairie,TX,75050,"caller,consignee"," "," ",NO,NO," "
Access World (USA) LLC,4103272931,,5107 North Point Blvd,Edgemere,MD,21219,caller," "," ",NO,NO," "
ACTIVA INC.,,,4 17th Street West,Birmingham,AL,35208,caller," "," ",NO,NO," "
ADAMS WAREHOUSE,,,542 Portwall St,Houston,TX,77029,caller," ",30,NO,NO," "
AEP TULSA,,,17401 East Pine Street,Tulsa,OK,74116,"consignee,caller"," "," ",NO,NO," "
Aequus Worldwide Logistics,8328437950,,25420 Kuykendahl Rd Ste E300,Tomball,TX,77375,caller," ",30,NO,NO," "
Agencia Nacional Erasmus -  Educacao e Formacao,,,Rua Ivone Silva,Lisboa,Lisboa,1050,caller," "," ",NO,NO," "
AJ WORLDWIDE,,,901 Penhorn Ave,Secaucus,NJ,07094,ALL," "," ",NO,NO," "
AJC Freight Solutions,,,1000 Abernathy Road Northeast,Sandy Springs,GA,30328,caller," ",30,NO,NO," "
ALG WORLDWIDE LOGISTICS,,,745 Dillon Drive,Wood Dale,IL,60191,caller," ",30,NO,NO," "
ALL BOUND LOGISTICS LLC,,,13101 North Florida Avenue,Tampa,FL,33612,caller," ",30,NO,NO," "
ALL IN LOGISTICS SOLUTIONS LLC,,,66 W FLAGLER ST. SUITE 900,Miami County,FL,33028,caller," ",30,NO,NO," "
All Show Plus,,,8758 Clay Rd Unit 418 Houston 77080 Texas United States,Houston,Texas,77080,caller," "," ",NO,NO," "
ALLIANZ CARGO & LOGISTICS INC,9543058953,KARINA YOUNGMAN,11700 NW 101 ST RD UNIT #6,Medley,FL,33178,caller," ",7,NO,NO," "
AM Premier,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
AM Premier Solutions,,,825 Town & Country Ln,Houston,TX,77024,caller," ",30,NO,NO," "
AMERICAN DIAMOND LOGISTICS,,,15277 N Fwy,Fort Worth,TX,76177,caller," ",30,NO,NO," "
American Logistics Group,,,PO BOX 4  Syosset 11791 NY United States,Syosset,NY,11791,caller," ",30,NO,NO," "
AMINO,,,607 E Sonterra Blvd,San Antonio,TX,78258,caller," ",30,NO,NO," "
Amnexs Solutions,,,1815 South Meyers Road,Villa Park,IL,60181,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Anderson Trucking Services  (ATS),,,425 OPPORTUNITY DR,St. Cloud,MN,56301,caller," ",30,NO,NO," "
ANN HARRIS BENNETT (HCTAX),,,"P.O BOX 4622,",Houston,TX,772104622,caller," "," ",NO,NO," "
AR FLOOR DESIGNS OF HOUSTON,7137260900,maria rojas,5213 Brookston Street,Houston,TX,77045,"consignee,caller"," "," ",NO,NO," "
ArcBest II Inc.,4797856000,,804 McClure Dr,Fort Smith,AR,72914-0048,caller," ",30,NO,NO," "
ARI SHIPPING CORP,,,80 Sheridan Boulevard,Inwood,NY,11096,caller," ",30,NO,NO," "
armstong transport - internal,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,caller," "," ",NO,NO," "
ARMSTRONG TRASPORT GROUP,,,4420 South Tryon Street,Charlotte,NC,28217,caller," ",30,NO,NO," "
