COMPANY NAME,PHONE,MAIN CONTACT NAME,ADDRESS,CITY,STATE,ZIP CODE,CUSTOMER TYPE,CREDIT LIMIT,DEFAULT PAYMENT TERMS,CREDIT HOLD,ACCOUNT HOLD,CURRENCY
1 STOP GLASS,,,12531 Chrisman Rd,Houston,TX,77039,consignee," "," ",,NO," "
"11618 GLENDALE RISE LN RICHMOND, TX 77407",,,11618 Glendale Rise Lane,Richmond,TX,77407,consignee," "," ",,NO," "
24 HR TIRE,,,1415 S Loop W,Houston,TX,77054,consignee," "," ",,NO," "
3 WAY WAREHOUSE,,,1050 New Technology Boulevard,Hutto,TX,78634,consignee," "," ",,NO," "
3PL Warehouse,,,11505 HWY 225,La Porte,TX,77571,"consignee,shipper,containerReturn"," ",30,,NO," "
3RS RECYCLING INC,,,1242 Kress St,Houston,TX,77020,consignee," "," ",,NO," "
3RS RECYCLING SOLUTIONS,,,1212 Kress St,Houston,TX,77020,consignee," "," ",,NO," "
7 Star Brokerage,,,2422 Jolly Road,Okemos,MI,48864,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
84 LUMBER COMPANY #1975,,,12020 Barker Cypress Road,Cypress,TX,77433,consignee," "," ",,NO," "
8435 E Grand Parkway S,,,8435 East Grand Parkway South,Baytown,TX,77523,consignee," "," ",,NO," "
A J LOGISTICS,,,9040 Railwood Dr,Houston,TX,77078,consignee," "," ",,NO," "
A-GAS,,,"11050 SOUTH HWY 287,",Rhome,TX,76078,consignee," "," ",,NO," "
A&A MEDICAL SUPPLIES,,,4219 Clay Commerce Dr,Katy,TX,77449,consignee," "," ",,NO," "
A&W ENERGY,,,11701 W County Rd 125,Odessa,TX,79765,consignee," "," ",,NO," "
AAA Pallet,,,1220 Shotwell Street,Houston,TX,77020,"shipper,consignee,chassisTermination,chassisPick"," "," ",,NO," "
AB MAURI C/O DSV SOLUTIONS LLC,,,3001 Midpoint Drive,Lancaster,TX,75134,consignee," "," ",,NO," "
ABA EXPRESS,,,"7201 PINEMONT DRIVE, SUITE A",Houston,TX,77040,consignee," "," ",,NO," "
ABC COMPOUNDING,,,1102 E Avenue J,Grand Prairie,TX,75050,"caller,consignee"," "," ",NO,NO," "
ABC CONROE,6088460730,,938 S Frazier St,Conroe,TX,77301,consignee," "," ",,NO," "
ABC SUPPLY,,,4905 Winnebago Ln,Austin,TX,78744,consignee," "," ",,NO," "
ABC SUPPLY-KATY,,,24650 Franz Rd,Katy,TX,77493,consignee," "," ",,NO," "
ACADEMY LTD.,,,1549 Primewest Pkwy,Katy,TX,77449,consignee," "," ",,NO," "
ACCESS WORLD,,,5515 Ameriport Pkwy,Baytown,TX,77523,consignee," "," ",,NO," "
ACME ELECTRIC,,,310 Crossroads Loop,Laredo,TX,78045,consignee," "," ",,NO," "
ACTS INTERNATIONAL WAREHOUSE,7138808111,DAREN,555 W 38TH STREEET,Houston,TX,77018,consignee," "," ",,NO," "
ACUBEST INC.,,,20631 Clay Center Dr,Katy,TX,77449,consignee," "," ",,NO," "
Adams Warehouse,,,3851 Yale Street,Houston,TX,77018,consignee," "," ",,NO," "
Adams Warehouse,,,3200 W 11th St,Houston,TX,77008,consignee," "," ",,NO," "
ADAMS WAREHOUSE,,,9838 East Fwy,Houston,TX,77029,"consignee,shipper,containerReturn"," "," ",,NO," "
ADAMS WAREHOUSE & DELIVERY,,,3480 W 11th St,Houston,TX,77008,consignee," "," ",,NO," "
ADAMS WAREHOUSE- 3300,,,3300 W 11th St,Houston,TX,77008,consignee," "," ",,NO," "
ADAMS WAREHOUSE- 77018,,,510 W 38th St,Houston,TX,77018,consignee," "," ",,NO," "
ADAMS WAREHOUSE-GREENS RD,,,2112 Greens Rd,Houston,TX,77032,consignee," "," ",,NO," "
ADAMS WAREHOUSE-PORTWALL,,,200 Portwall St,Houston,TX,77029,consignee," "," ",,NO," "
ADVANCED INTL C/O DGM SERVICES,,,1813 Greens Road,Houston,TX,77032,consignee," "," ",,NO," "
ADVANCED WHEEL SALES,,,9333 S Sam Houston Pkwy W,Missouri City,TX,77489,consignee," "," ",,NO," "
ADVANTAGE TRANSPORT SOLUTIONS  INC.,,,201 South Interstate 45 Service Road,Wilmer,TX,75172,consignee," "," ",,NO," "
AEP KINGVILLE RDC,,,2600 E Corral Ave,Kingsville,TX,78363,consignee," "," ",,NO," "
AEP TULSA,,,17401 East Pine Street,Tulsa,OK,74116,"consignee,caller"," "," ",NO,NO," "
AERIS AEROBIC,,,5021 South McKinney Street,Rice,TX,75155,consignee," "," ",,NO," "
Aeronet,,,600 Fallbrook Drive,Houston,TX,77038,consignee," "," ",,NO," "
AIR COMFORT,,,590 N Main St,Beaumont,TX,77701,consignee," "," ",,NO," "
AIR FILTERS INC.,,,8282 Warren Road,Houston,TX,77040,consignee," "," ",,NO," "
