COMPANY NAME,PHONE,MAIN CONTACT NAME,ADDRESS,CITY,STATE,ZIP CODE,CUSTOMER TYPE,CREDIT LIMIT,DEFAULT PAYMENT TERMS,CREDIT HOLD,ACCOUNT HOLD,CURRENCY
7 Star Brokerage,,,2422 Jolly Road,Okemos,MI,48864,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
AAA Pallet,,,1220 Shotwell Street,Houston,TX,77020,"shipper,consignee,chassisTermination,chassisPick"," "," ",,NO," "
ADVANCED CONTAINER COMPANY,,,1715 Turning Basin Dr,Houston,TX,77029,"chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
AJ WORLDWIDE,,,901 Penhorn Ave,Secaucus,NJ,07094,ALL," "," ",NO,NO," "
AM Premier,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Amnexs Solutions,,,1815 South Meyers Road,Villa Park,IL,60181,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
BARBOURS CUT TERMINALS,,Port of Houston - Barbours Cut,1515 E Barbours Cut Blvd,La Porte,TX,77571,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
BAYPORT TERMINAL,,,12619 Port Rd,Seabrook,TX,77586,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
Big Tex Warehouse Houston,,,2928 Greens Road,Houston,TX,77032,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
BNSF,,BNSF - Houston (Pearland),214 Brisbane St,Houston,TX,77061,"shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
C&C,,,12560 Port Rd,Seabrook,TX,77586,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
CARU CONTAINERS LLC,,,"15920 I-10 EAST FREEWAY,",CHANNELVIEW,TEXAS,77530,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
Cedar Inc,,,7834 Minonite Road,Richmond,TX,77469,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
CERES INTERMODAL,,,1550 N J St,La Porte,TX,77571,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
CMCA,,,12702 Port Rd,Pasadena,TX,77507,"chassisTermination,chassisPick,consignee,shipper,containerReturn"," "," ",,NO," "
CONGLOBAL MAYO SHELL,,,500 Mayo Shell Rd,Houston,TX,77015,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
Crane Cartage LLC,,,1500 Rankin Road,Houston,TX,77073,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," ",30,NO,NO," "
Cura Freight LLC,,,2104 West Main Street,Tampa,FL,33607,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," ",30,NO,NO," "
CUSTOM GOODS,3102416700,,9431 Bay Area Blvd,Pasadena,TX,77507,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
DEUGRO/C.O.L.T WAREHOUSE,,,2828 Farm to Market 1405,Baytown,TX,77523,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
DHL GLOBAL FORWARDING,,,15894 Diplomatic Plaza Dr,Houston,TX,77032,"caller,consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",NO,NO," "
DILLARDS DEPT STORE,,,4501 North Beach Street,Fort Worth,TX,76137,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
DUNAVANT-LAPORTE,,,501 Independence Parkway,Deer Park,TX,77536,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
